data,regiao,casosAcumulado
2020-05-02,Nordeste,57098
2020-05-02,Norte,25548
2020-05-02,Sudeste,93419
2020-05-02,Sul,10914
2020-05-03,Brasil,101147
2020-05-03,Centro-Oeste,6216
2020-05-03,Nordeste,60124
2020-05-03,Norte,28752
2020-05-03,Sudeste,96230
2020-05-03,Sul,11052
2020-05-04,Brasil,107780
2020-05-04,Centro-Oeste,6494
2020-05-04,Nordeste,67196
2020-05-04,Norte,31324
2020-05-04,Sudeste,98962
2020-05-04,Sul,11584
2020-05-05,Brasil,114715
2020-05-05,Centro-Oeste,6776
2020-05-05,Nordeste,71282
2020-05-05,Norte,34724
2020-05-05,Sudeste,104596
2020-05-05,Sul,12052
2020-05-06,Brasil,125218
2020-05-06,Centro-Oeste,7194
2020-05-06,Nordeste,76462
2020-05-06,Norte,38950
2020-05-06,Sudeste,114642
2020-05-06,Sul,13188
2020-05-07,Brasil,135106
2020-05-07,Centro-Oeste,8026
2020-05-07,Nordeste,84314
2020-05-07,Norte,42754
2020-05-07,Sudeste,121384
2020-05-07,Sul,13734
2020-05-08,Brasil,145328
2020-05-08,Centro-Oeste,8556
2020-05-08,Nordeste,91448
2020-05-08,Norte,46414
2020-05-08,Sudeste,129512
2020-05-08,Sul,14726
2020-05-09,Brasil,155939
2020-05-09,Centro-Oeste,8986
2020-05-09,Nordeste,98712
2020-05-09,Norte,51130
2020-05-09,Sudeste,137750
2020-05-09,Sul,15300
2020-05-10,Brasil,162699
2020-05-10,Centro-Oeste,9312
2020-05-10,Nordeste,105400
2020-05-10,Norte,54390
2020-05-10,Sudeste,140684
2020-05-10,Sul,15612
2020-05-11,Brasil,168331
2020-05-11,Centro-Oeste,9618
2020-05-11,Nordeste,110616
2020-05-11,Norte,56102
2020-05-11,Sudeste,144418
2020-05-11,Sul,15908
2020-05-12,Brasil,177589
2020-05-12,Centro-Oeste,10180
2020-05-12,Nordeste,116632
2020-05-12,Norte,61800
2020-05-12,Sudeste,149454
2020-05-12,Sul,17112
2020-05-13,Brasil,188974
2020-05-13,Centro-Oeste,10834
2020-05-13,Nordeste,123538
2020-05-13,Norte,68176
2020-05-13,Sudeste,157918
2020-05-13,Sul,17482
2020-05-14,Brasil,202918
2020-05-14,Centro-Oeste,12020
2020-05-14,Nordeste,133138
2020-05-14,Norte,74862
2020-05-14,Sudeste,167032
2020-05-14,Sul,18784
2020-05-15,Brasil,218223
2020-05-15,Centro-Oeste,13234
2020-05-15,Nordeste,144152
2020-05-15,Norte,80946
2020-05-15,Sudeste,177518
2020-05-15,Sul,20596
2020-05-16,Brasil,233142
2020-05-16,Centro-Oeste,14278
2020-05-16,Nordeste,156138
2020-05-16,Norte,86932
2020-05-16,Sudeste,187706
2020-05-16,Sul,21230
2020-05-17,Brasil,241080
2020-05-17,Centro-Oeste,15062
2020-05-17,Nordeste,163074
2020-05-17,Norte,90554
2020-05-17,Sudeste,191876
2020-05-17,Sul,21594
2020-05-18,Brasil,254220
2020-05-18,Centro-Oeste,15836
2020-05-18,Nordeste,172260
2020-05-18,Norte,94638
2020-05-18,Sudeste,203166
2020-05-18,Sul,22540
2020-05-19,Brasil,271628
2020-05-19,Centro-Oeste,16672
2020-05-19,Nordeste,188142
2020-05-19,Norte,102214
2020-05-19,Sudeste,212940
2020-05-19,Sul,23288
2020-05-20,Brasil,291579
2020-05-20,Centro-Oeste,17772
2020-05-20,Nordeste,200832
2020-05-20,Norte,111160
2020-05-20,Sudeste,227218
2020-05-20,Sul,26176
2020-05-21,Brasil,310087
2020-05-21,Centro-Oeste,19148
2020-05-21,Nordeste,212246
2020-05-21,Norte,120390
2020-05-21,Sudeste,240604
2020-05-21,Sul,27786
2020-05-22,Brasil,330890
2020-05-22,Centro-Oeste,20554
2020-05-22,Nordeste,229066
2020-05-22,Norte,129580
2020-05-22,Sudeste,251950
2020-05-22,Sul,30630
2020-05-23,Brasil,347398
2020-05-23,Centro-Oeste,21676
2020-05-23,Nordeste,239602
2020-05-23,Norte,138740
2020-05-23,Sudeste,262694
2020-05-23,Sul,31935
2020-05-24,Brasil,363211
2020-05-24,Centro-Oeste,22934
